,PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,AVG_SCORE,POPULATION,GDP,GDP_PER_CAPITA
129,2003_WASHINGTON,WASHINGTON,2003,1014577.0,8565636.0,702469.0,5334268.0,2528899.0,8802387.0,4332487.0,2514359.0,396084.0,1189781.0,238.0,281.0,221.0,264.0,251.0,6104115,315728.1,0.05172381254285019
130,2003_WEST_VIRGINIA,WEST_VIRGINIA,2003,281591.0,2497707.0,267470.0,1519848.0,710389.0,2524444.0,1420396.0,761887.0,164473.0,166233.0,231.0,271.0,219.0,260.0,245.25,1812295,62938.6,0.03472867276022943
131,2003_WISCONSIN,WISCONSIN,2003,875390.0,8931497.0,530014.0,4838109.0,3563374.0,9128279.0,4844788.0,2757563.0,346325.0,733156.0,237.0,284.0,221.0,266.0,252.0,5479203,247796.9,0.04522498983885065
132,2003_WYOMING,WYOMING,2003,85966.0,962240.0,84308.0,489199.0,388733.0,915515.0,473447.0,292271.0,27608.0,110312.0,241.0,284.0,222.0,267.0,253.5,503453,30646.5,0.0608726137295835
133,2005_ALABAMA,ALABAMA,2005,729342.0,5889966.0,665924.0,3247562.0,1976480.0,5904664.0,3053380.0,1744013.0,462605.0,511944.0,225.0,262.0,208.0,252.0,236.75,4569805,181871.0,0.039798415906149166
134,2005_ALASKA,ALASKA,2005,132568.0,1599739.0,302846.0,878731.0,418162.0,1751718.0,829666.0,559084.0,55782.0,268700.0,236.0,279.0,211.0,259.0,246.25,666946,45064.7,0.06756873869848533
135,2005_ARIZONA,ARIZONA,2005,919875.0,7550109.0,897553.0,3320196.0,3332360.0,7136794.0,3423716.0,2264931.0,351097.0,861286.0,230.0,274.0,207.0,255.0,241.5,5839077,263047.3,0.04504946586592367
136,2005_ARKANSAS,ARKANSAS,2005,461667.0,3978240.0,447012.0,2995788.0,535440.0,3999608.0,2118580.0,1173643.0,200865.0,393713.0,236.0,272.0,217.0,258.0,245.75,2781097,104758.6,0.037668085651093794
137,2005_CALIFORNIA,CALIFORNIA,2005,6307022.0,62171797.0,7148863.0,34912166.0,20110768.0,66196072.0,31070450.0,18046385.0,3132465.0,10223657.0,230.0,269.0,207.0,250.0,239.0,35827943,1988736.5,0.05550797320404356
138,2005_COLORADO,COLORADO,2005,765388.0,6910296.0,472246.0,2954915.0,3483135.0,7284280.0,3380399.0,2343655.0,260280.0,918985.0,239.0,281.0,224.0,265.0,252.25,4631888,251266.6,0.05424712341921912
139,2005_CONNECTICUT,CONNECTICUT,2005,552512.0,7898694.0,401558.0,2886076.0,4611060.0,7452057.0,4177845.0,2200133.0,277388.0,496778.0,242.0,281.0,226.0,264.0,253.25,3506956,242380.3,0.06911415483969573
140,2005_DELAWARE,DELAWARE,2005,112562.0,1431710.0,106513.0,894498.0,430699.0,1480157.0,761786.0,424220.0,62086.0,172879.0,240.0,281.0,226.0,266.0,253.25,845150,59821.9,0.07078258297343668
141,2005_FLORIDA,FLORIDA,2005,2645280.0,23216404.0,2328513.0,9940813.0,10947078.0,23857012.0,11270907.0,6876508.0,1363005.0,3803764.0,239.0,274.0,219.0,256.0,247.0,17842038,806805.0,0.045219329764906904
142,2005_GEORGIA,GEORGIA,2005,1552758.0,14724731.0,1375318.0,6449103.0,6900310.0,14492666.0,7886069.0,3954215.0,658022.0,1794894.0,234.0,272.0,214.0,257.0,244.25,8925922,445803.4,0.049944801220534976
143,2005_HAWAII,HAWAII,2005,183185.0,2274166.0,236973.0,1986615.0,50578.0,1765805.0,1007207.0,559178.0,137949.0,61471.0,230.0,266.0,210.0,249.0,238.75,1292729,68553.0,0.053029675980039125
144,2005_IDAHO,IDAHO,2005,253782.0,1796035.0,192039.0,1023550.0,580446.0,1819519.0,989703.0,531569.0,77321.0,181622.0,242.0,281.0,222.0,264.0,252.25,1428241,55380.9,0.038775598796001516
145,2005_ILLINOIS,ILLINOIS,2005,2072437.0,21611180.0,1835598.0,7152163.0,12623419.0,22035569.0,11063949.0,6900767.0,755227.0,2137191.0,233.0,278.0,216.0,264.0,247.75,12609903,688522.6,0.054601736428900365
146,2005_INDIANA,INDIANA,2005,1014528.0,11653165.0,708922.0,5224277.0,5719966.0,11071431.0,5343758.0,3228234.0,413599.0,982893.0,240.0,282.0,218.0,261.0,250.25,6278616,285607.9,0.04548898993026489
147,2005_IOWA,IOWA,2005,478319.0,4638125.0,363930.0,2051926.0,2222269.0,4599549.0,2323233.0,1301312.0,214893.0,538313.0,240.0,284.0,221.0,267.0,253.0,2964454,143905.3,0.04854361039166065
148,2005_KANSAS,KANSAS,2005,468481.0,4223632.0,356865.0,2360120.0,1506647.0,4076597.0,2174402.0,1257432.0,183824.0,308365.0,246.0,284.0,220.0,267.0,254.25,2745299,122325.6,0.044558206592433106
149,2005_KENTUCKY,KENTUCKY,2005,674502.0,5444309.0,646215.0,3121503.0,1676591.0,5750671.0,2864633.0,1660844.0,336579.0,741433.0,231.0,274.0,220.0,264.0,247.25,4182742,168840.3,0.04036593698583369
150,2005_LOUISIANA,LOUISIANA,2005,717625.0,5975074.0,844640.0,2787542.0,2342892.0,5941561.0,3264689.0,1854202.0,362965.0,350658.0,230.0,268.0,209.0,253.0,240.0,4576628,245727.5,0.053691822887942824
151,2005_MAINE,MAINE,2005,198745.0,2324789.0,197651.0,895595.0,1231543.0,2325138.0,1355800.0,620991.0,96318.0,128520.0,241.0,281.0,225.0,270.0,254.25,1318787,53606.5,0.04064833820776213
152,2005_MARYLAND,MARYLAND,2005,865561.0,9906219.0,670998.0,3729262.0,5505959.0,9782665.0,5154440.0,2934277.0,407619.0,947970.0,238.0,278.0,220.0,261.0,249.25,5592379,306126.0,0.05473985221673996
153,2005_MASSACHUSETTS,MASSACHUSETTS,2005,955225.0,12976279.0,761359.0,5434971.0,6779949.0,12726283.0,7203922.0,3750687.0,391078.0,803602.0,247.0,292.0,231.0,274.0,261.0,6403290,391462.3,0.061134557391590884
154,2005_MICHIGAN,MICHIGAN,2005,1721351.0,19106382.0,1513264.0,10990030.0,6603088.0,20489512.0,9269314.0,6479470.0,841610.0,1937442.0,238.0,277.0,218.0,261.0,248.5,10051137,450635.9,0.04483432073406223
155,2005_MINNESOTA,MINNESOTA,2005,814660.0,8777363.0,529037.0,5912340.0,2335986.0,9082593.0,4637773.0,2157574.0,646632.0,937357.0,246.0,290.0,225.0,268.0,257.25,5119598,282487.5,0.05517767215316515
156,2005_MISSISSIPPI,MISSISSIPPI,2005,494382.0,3639643.0,552628.0,1958500.0,1128515.0,3610904.0,1935459.0,1096574.0,231190.0,281713.0,227.0,262.0,204.0,251.0,236.0,2905943,95499.9,0.032863652177623576
157,2005_MISSOURI,MISSOURI,2005,902659.0,8340865.0,694008.0,3640728.0,4006129.0,8170965.0,4224716.0,2452665.0,457530.0,708726.0,235.0,276.0,221.0,265.0,249.25,5790300,263282.4,0.045469561162634065
158,2005_MONTANA,MONTANA,2005,146552.0,1293070.0,191687.0,578321.0,523062.0,1268328.0,721019.0,412180.0,53055.0,59998.0,241.0,286.0,225.0,269.0,255.25,940102,37078.1,0.03944050751939683
159,2005_NEBRASKA,NEBRASKA,2005,284553.0,2895640.0,295968.0,878576.0,1721096.0,2708776.0,1487488.0,751435.0,127968.0,264339.0,238.0,284.0,221.0,267.0,252.5,1761497,89082.3,0.050571928308705605
160,2005_NEVADA,NEVADA,2005,399727.0,3381646.0,251421.0,1996995.0,1133230.0,3483540.0,1665706.0,926213.0,115483.0,584219.0,230.0,270.0,207.0,253.0,240.0,2432143,138796.4,0.05706753262452084
161,2005_NEW_HAMPSHIRE,NEW_HAMPSHIRE,2005,202223.0,2332695.0,125956.0,878957.0,1327782.0,2333264.0,1261140.0,651058.0,65668.0,163780.0,246.0,285.0,227.0,270.0,257.0,1298492,64350.0,0.049557486684554085
162,2005_NEW_JERSEY,NEW_JERSEY,2005,1368959.0,23026334.0,937945.0,9340953.0,12747436.0,23023365.0,11575456.0,7408034.0,817943.0,2179605.0,244.0,284.0,223.0,269.0,255.0,8651974,513115.9,0.05930622306539525
163,2005_NEW_MEXICO,NEW_MEXICO,2005,326102.0,2982991.0,480888.0,2102670.0,399433.0,3011696.0,1395996.0,955266.0,149000.0,466166.0,224.0,263.0,207.0,251.0,236.25,1932274,83793.8,0.04336538192823585
164,2005_NEW_YORK,NEW_YORK,2005,2816426.0,43936450.0,3156023.0,19202847.0,21577580.0,45086872.0,27866708.0,11303872.0,1182179.0,3342778.0,238.0,280.0,223.0,265.0,251.5,19132610,1167640.1,0.06102879324880401
165,2005_NORTH_CAROLINA,NORTH_CAROLINA,2005,1347177.0,11098165.0,1116670.0,6440768.0,3540727.0,10917913.0,6160224.0,3039968.0,580213.0,791873.0,241.0,282.0,217.0,258.0,249.5,8705407,406293.9,0.04667144224273489
166,2005_NORTH_DAKOTA,NORTH_DAKOTA,2005,100413.0,969520.0,148482.0,341066.0,479972.0,985502.0,501563.0,258404.0,64839.0,88341.0,243.0,287.0,225.0,270.0,256.25,646089,29166.5,0.0451431613910777
167,2005_OHIO,OHIO,2005,1778784.0,19746239.0,1413888.0,8313858.0,10018493.0,19785561.0,9700668.0,6526386.0,830761.0,2046199.0,242.0,283.0,223.0,267.0,253.75,11463320,544256.4,0.047478077904132485
168,2005_OKLAHOMA,OKLAHOMA,2005,629145.0,4892548.0,678448.0,2440741.0,1773359.0,4785987.0,2303527.0,1569038.0,467321.0,397131.0,234.0,271.0,214.0,260.0,244.75,3548597,142824.8,0.04024824458793151
169,2005_OREGON,OREGON,2005,550502.0,5022050.0,498217.0,2440758.0,2083075.0,5597579.0,2671228.0,1680005.0,181133.0,364717.0,238.0,282.0,217.0,263.0,250.0,3613202,158368.7,0.043830569118471656
