,PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,POPULATION,GDP,GDP_PER_CAPITA
38,2000_RHODE_ISLAND,RHODE_ISLAND,2000,155351.0,1464820.0,81655.0,610999.0,772166.0,1388454.0,845667.0,421472.0,57496.0,30587.0,224.0,269.0,,,1050268,45252.1,0.043086240845193795
39,2000_SOUTH_CAROLINA,SOUTH_CAROLINA,2000,666780.0,4690418.0,366587.0,2420494.0,1903337.0,4961392.0,2426139.0,1418846.0,278840.0,716110.0,220.0,265.0,,,4024223,150403.1,0.0373744447064688
40,2000_SOUTH_DAKOTA,SOUTH_DAKOTA,2000,130279.0,868161.0,105960.0,302405.0,459796.0,898609.0,443779.0,245481.0,36959.0,144296.0,,,,,755844,29399.2,0.03889585681701515
41,2000_TENNESSEE,TENNESSEE,2000,907222.0,5338531.0,462000.0,2429713.0,2446818.0,5805181.0,3166208.0,1471174.0,307022.0,743326.0,220.0,262.0,,,5703719,233697.5,0.04097282843001207
42,2000_TEXAS,TEXAS,2000,3965971.0,28918934.0,2406972.0,12471856.0,14040106.0,31067935.0,15018072.0,8307904.0,1371714.0,4719976.0,231.0,273.0,,,20944499,998148.9,0.047656852522469026
43,2000_UTAH,UTAH,2000,477835.0,2546642.0,189502.0,1507711.0,849429.0,2478420.0,1355794.0,596620.0,192296.0,270172.0,227.0,274.0,,,2244502,92626.6,0.04126821896349391
44,2000_VERMONT,VERMONT,2000,99609.0,1211370.0,65052.0,711259.0,435059.0,1193813.0,555740.0,283821.0,29595.0,39112.0,232.0,281.0,,,609618,23022.8,0.03776594523127598
45,2000_VIRGINIA,VIRGINIA,2000,1132673.0,8911426.0,491873.0,3761983.0,4657570.0,9154676.0,4823780.0,2639328.0,347530.0,1011384.0,230.0,275.0,,,7105817,346997.3,0.04883285060676344
46,2000_WASHINGTON,WASHINGTON,2000,1003714.0,7620930.0,543966.0,4812796.0,2264168.0,7811937.0,3818756.0,2285577.0,350703.0,1048059.0,,,,,5910512,312645.6,0.0528965341750427
47,2000_WEST_VIRGINIA,WEST_VIRGINIA,2000,290982.0,2243151.0,210082.0,1365346.0,667723.0,2243563.0,1271988.0,672003.0,156775.0,129872.0,223.0,266.0,,,1807021,62001.4,0.034311388744237066
48,2000_WISCONSIN,WISCONSIN,2000,877165.0,7848352.0,354829.0,4292527.0,3200996.0,8183251.0,4225688.0,2316000.0,265155.0,958597.0,,,,,5373999,233212.3,0.043396416709418816
49,2000_WYOMING,WYOMING,2000,91883.0,787323.0,66085.0,408356.0,312882.0,769923.0,417424.0,242832.0,24899.0,70579.0,229.0,276.0,,,494300,27676.7,0.05599170544203925
50,2002_ALABAMA,ALABAMA,2002,726367.0,5128559.0,508425.0,3010983.0,1609151.0,5147821.0,2720735.0,1414594.0,418949.0,496146.0,,,207.0,253.0,4480089,161258.0,0.03599437421890503
51,2002_ALASKA,ALASKA,2002,133010.0,1377767.0,249222.0,773418.0,355127.0,1523327.0,747223.0,485124.0,50601.0,215409.0,,,,,642337,42915.8,0.06681196941792238
52,2002_ARIZONA,ARIZONA,2002,859588.0,6192222.0,619869.0,2825228.0,2747125.0,6018188.0,2659448.0,1833852.0,286945.0,966925.0,,,205.0,257.0,5396255,219370.4,0.040652341299660597
53,2002_ARKANSAS,ARKANSAS,2002,449161.0,3147921.0,331069.0,2334551.0,482301.0,3087453.0,1697645.0,910208.0,165003.0,239177.0,,,213.0,260.0,2705927,92989.3,0.03436504384634175
54,2002_CALIFORNIA,CALIFORNIA,2002,6136915.0,54727056.0,5084409.0,31005317.0,18637330.0,56464225.0,28593157.0,15568570.0,2882414.0,6998522.0,,,206.0,250.0,34871843,1747199.5,0.05010344592340588
55,2002_COLORADO,COLORADO,2002,741319.0,5849588.0,338856.0,2460333.0,3050399.0,6237142.0,2963406.0,1967267.0,225545.0,779315.0,,,,,4490406,236869.2,0.052750063134602974
56,2002_CONNECTICUT,CONNECTICUT,2002,543829.0,6644334.0,288620.0,2490036.0,3865678.0,6475918.0,3570517.0,1847167.0,241930.0,542302.0,,,229.0,267.0,3458749,219956.8,0.06359432268719123
57,2002_DELAWARE,DELAWARE,2002,111331.0,1180255.0,86532.0,764350.0,329373.0,1246284.0,645895.0,352551.0,51060.0,154186.0,,,224.0,267.0,806169,56897.3,0.07057738513884806
58,2002_FLORIDA,FLORIDA,2002,2500179.0,18541689.0,1762460.0,8542871.0,8236358.0,19051049.0,8781232.0,5589428.0,1245146.0,2999914.0,,,214.0,261.0,16689370,684994.9,0.041043784157221035
59,2002_GEORGIA,GEORGIA,2002,1470634.0,13042229.0,904826.0,6361710.0,5775693.0,12690343.0,6894589.0,3341604.0,616115.0,1659378.0,,,215.0,258.0,8508256,399790.5,0.0469885367812158
60,2002_HAWAII,HAWAII,2002,184546.0,1889600.0,170152.0,1684226.0,35222.0,1436637.0,815123.0,457784.0,121615.0,42115.0,,,208.0,252.0,1239613,57913.9,0.046719339019516574
61,2002_IDAHO,IDAHO,2002,244937.0,1625444.0,138930.0,988386.0,498128.0,1666027.0,896815.0,499035.0,67785.0,167918.0,,,220.0,266.0,1340372,47334.4,0.035314375412199
62,2002_ILLINOIS,ILLINOIS,2002,2047836.0,19084554.0,1438287.0,6808150.0,10838117.0,20563001.0,9904454.0,6025120.0,683101.0,2897117.0,,,,,12525556,646998.4,0.05165426588648041
63,2002_INDIANA,INDIANA,2002,994348.0,9273957.0,523331.0,4446730.0,4303896.0,9353054.0,4586033.0,2650367.0,365778.0,875596.0,,,222.0,265.0,6155967,265089.5,0.04306220290004804
64,2002_IOWA,IOWA,2002,485932.0,4191217.0,273857.0,1951680.0,1965680.0,4418238.0,2109878.0,1180608.0,278099.0,459382.0,,,223.0,,2934234,124277.0,0.04235415444030708
65,2002_KANSAS,KANSAS,2002,470204.0,3823261.0,282329.0,2281992.0,1258940.0,3690815.0,1958937.0,1195259.0,166405.0,231630.0,,,222.0,269.0,2713535,115707.1,0.04264072510581216
