,0,2000_NAs,2001_NAs,2002_NAs,2003_NAs,2004_NAs,2005_NAs,2006_NAs,2007_NAs,2008_NAs,2009_NAs,2010_NAs,2011_NAs,2012_NAs,2013_NAs,2014_NAs,2015_NAs,2016_NAs,2017_NAs,2018_NAs
157,G10_AM_M,53,51,53,53,51,53,51,53,51,2,0,3,0,2,0,2,0,53,0
158,G10_AS_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
159,G10_AS_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
160,G10_BL_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
161,G10_BL_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
162,G10_HI_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
163,G10_HI_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
164,G10_HP_F,53,51,53,53,51,53,51,53,51,39,2,3,0,3,1,5,0,53,0
165,G10_HP_M,53,51,53,53,51,53,51,53,51,40,1,2,0,4,1,3,1,53,0
166,G10_TR_F,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0
167,G10_TR_M,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0
168,G10_WH_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
169,G10_WH_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
170,G11_AM_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
171,G11_AM_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
172,G11_AS_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
173,G11_AS_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
174,G11_BL_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
175,G11_BL_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
176,G11_HI_F,53,51,53,53,51,53,51,53,51,2,1,2,0,2,0,2,0,53,0
177,G11_HI_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
178,G11_HP_F,53,51,53,53,51,53,51,53,51,40,1,2,1,4,1,3,1,53,0
179,G11_HP_M,53,51,53,53,51,53,51,53,51,41,3,2,0,3,2,4,0,53,0
180,G11_TR_F,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0
181,G11_TR_M,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0
182,G11_WH_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
183,G11_WH_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
184,G12_AM_F,53,51,53,53,51,53,51,53,51,3,0,2,0,2,1,2,0,53,0
185,G12_AM_M,53,51,53,53,51,53,51,53,51,3,0,2,0,3,1,2,0,53,0
186,G12_AS_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
187,G12_AS_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
188,G12_BL_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
189,G12_BL_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
190,G12_HI_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
191,G12_HI_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
192,G12_HP_F,53,51,53,53,51,53,51,53,51,40,1,2,0,5,2,3,0,53,0
193,G12_HP_M,53,51,53,53,51,53,51,53,51,40,3,2,0,4,1,3,0,53,0
194,G12_TR_F,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0
195,G12_TR_M,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0
196,G12_WH_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
197,G12_WH_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
198,KG_AM_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
199,KG_AM_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,3,0,53,0
