PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
1994_MICHIGAN,MICHIGAN,1994,1601845.0,11762546.0,658039.0,3489815.0,7614692.0,12023935.0,5825127.0,3912910.0,803226.0,877390.0,,,,
1994_MINNESOTA,MINNESOTA,1994,802913.0,5262482.0,224106.0,2822949.0,2215427.0,5581140.0,2876527.0,1388180.0,490949.0,565106.0,,,218.0,
1994_MISSISSIPPI,MISSISSIPPI,1994,503374.0,1911579.0,296345.0,1048767.0,566467.0,1919812.0,1072529.0,515600.0,148515.0,159184.0,,,202.0,
1994_MISSOURI,MISSOURI,1994,852324.0,4488359.0,294270.0,2089445.0,2104644.0,4575564.0,2396531.0,1349465.0,245316.0,443146.0,,,217.0,
1994_MONTANA,MONTANA,1994,163968.0,878986.0,83029.0,446392.0,349565.0,878084.0,508299.0,271711.0,36336.0,50333.0,,,222.0,
1994_NEBRASKA,NEBRASKA,1994,283962.0,1710913.0,101579.0,528743.0,1080591.0,1769248.0,1033858.0,447649.0,63108.0,173484.0,,,220.0,
1994_NEVADA,NEVADA,1994,235800.0,1266549.0,56664.0,817216.0,392669.0,1344245.0,654272.0,406932.0,44739.0,184082.0,,,,
1994_NEW_HAMPSHIRE,NEW_HAMPSHIRE,1994,181688.0,1145147.0,37805.0,89556.0,1017786.0,1119762.0,648513.0,316069.0,38919.0,34260.0,,,223.0,
1994_NEW_JERSEY,NEW_JERSEY,1994,651554.0,6957898.0,293378.0,3102722.0,3561798.0,6765105.0,3522248.0,2430560.0,268715.0,320715.0,,,219.0,
1994_NEW_MEXICO,NEW_MEXICO,1994,286759.0,1342868.0,164101.0,982237.0,196530.0,1223759.0,622138.0,391385.0,63549.0,129528.0,,,205.0,
1994_NEW_YORK,NEW_YORK,1994,2702937.0,23933662.0,1442038.0,9092275.0,13399349.0,25359726.0,14829280.0,6782725.0,992378.0,1717307.0,,,212.0,
1994_NORTH_CAROLINA,NORTH_CAROLINA,1994,1131662.0,5648390.0,454682.0,3553217.0,1640491.0,5740906.0,3161072.0,1629603.0,362721.0,490626.0,,,214.0,
1994_NORTH_DAKOTA,NORTH_DAKOTA,1994,118778.0,603902.0,65506.0,247062.0,291334.0,621313.0,319014.0,158223.0,46522.0,50938.0,,,225.0,
1994_OHIO,OHIO,1994,1816817.0,10735756.0,537642.0,4271944.0,5926170.0,10780138.0,5785984.0,3675789.0,472696.0,658754.0,,,,
